1.1.1 Accumulated Dep - Furniture GMO,1.1 Furniture - GMO - OF,0,,Asset,slot 5
1.1.2 Accumulated Dep - Computer GMO,1.2 Computer - GMO - OF,0,,Asset,
1.1.3 Accumulated Dep - Mobile GMO,1.3 Mobile - GMO - OF,0,,Asset,
1.1.4 Accumulated Dep - Printers GMO,1.4 Printers - GMO - OF,0,,Asset,
2.1.1 Accumulated Dep - Furniture FD,2.1 Furniture - FD - OF,0,,Asset,
2.1.2 Accumulated Dep - Computer FD,2.2 Computer - FD - OF,0,,Asset,
2.1.3 Accumulated Dep - Mobile FD,2.3 Mobile - FD - OF,0,,Asset,
2.1.4 Accumulated Dep - Printers FD,2.4 Printers - FD - OF,0,,Asset,
3.1.1 Accumulated Dep - Furniture HRD,3.1 Furniture - HRD - OF,0,,Asset,
3.1.2 Accumulated Dep - Computer HRD,3.2 Computer - HRD - OF,0,,Asset,
3.1.3 Accumulated Dep - Mobile HRD,3.3 Mobile - HRD - OF,0,,Asset,
3.1.4 Accumulated Dep - Printers HRD,3.4 Printers - HRD - OF,0,,Asset,
4.1.1 Accumulated Dep - Furniture GRD,4.1 Furniture - GRD - OF,0,,Asset,
4.1.2 Accumulated Dep - Computer GRD,4.2 Computer - GRD - OF,0,,Asset,
4.1.3 Accumulated Dep - Mobile GRD,4.3 Mobile - GRD - OF,0,,Asset,
4.1.4 Accumulated Dep - Printers GRD,4.4 Printers - GRD - OF,0,,Asset,
5.1.1 Accumulated Dep - Furniture OPR,5.1 Furniture - OPR - OF,0,,Asset,
5.1.2 Accumulated Dep - Computer OPR,5.2 Computer - OPR - OF,0,,Asset,
5.1.3 Accumulated Dep - Mobile OPR,5.3 Mobile - OPR - OF,0,,Asset,
5.1.4 Accumulated Dep - Printers OPR,5.4 Printers - OPR - OF,0,,Asset,
